time:0.3775 rot_x:30.90 gyro_x:39.55 last_x:30.57 rot_y:-47.66 gyro_x:-28.95 last_y:-43.49 
time:0.3849 rot_x:32.81 gyro_x:39.72 last_x:30.78 rot_y:-44.11 gyro_x:-28.69 last_y:-43.24 
time:0.3922 rot_x:32.24 gyro_x:39.88 last_x:30.97 rot_y:-42.29 gyro_x:-28.48 last_y:-43.02 
time:0.3995 rot_x:31.54 gyro_x:39.97 last_x:31.06 rot_y:-40.77 gyro_x:-28.33 last_y:-42.83 
time:0.4069 rot_x:30.29 gyro_x:39.99 last_x:31.07 rot_y:-38.41 gyro_x:-28.26 last_y:-42.67 
time:0.4142 rot_x:29.42 gyro_x:39.95 last_x:31.00 rot_y:-40.32 gyro_x:-28.29 last_y:-42.65 
time:0.4216 rot_x:31.66 gyro_x:39.88 last_x:30.94 rot_y:-44.20 gyro_x:-28.35 last_y:-42.74 
time:0.4289 rot_x:33.85 gyro_x:39.82 last_x:30.94 rot_y:-48.38 gyro_x:-28.42 last_y:-42.92 
time:0.4363 rot_x:32.45 gyro_x:39.80 last_x:30.95 rot_y:-51.99 gyro_x:-28.47 last_y:-43.16 
time:0.4436 rot_x:31.99 gyro_x:39.83 last_x:31.00 rot_y:-52.88 gyro_x:-28.50 last_y:-43.38 
time:0.4509 rot_x:32.83 gyro_x:39.92 last_x:31.13 rot_y:-52.73 gyro_x:-28.49 last_y:-43.55 
time:0.4583 rot_x:32.61 gyro_x:40.06 last_x:31.30 rot_y:-51.73 gyro_x:-28.42 last_y:-43.65 
time:0.4657 rot_x:32.48 gyro_x:40.24 last_x:31.49 rot_y:-49.12 gyro_x:-28.30 last_y:-43.65 
time:0.4730 rot_x:32.01 gyro_x:40.41 last_x:31.67 rot_y:-46.68 gyro_x:-28.19 last_y:-43.60 
time:0.4803 rot_x:31.44 gyro_x:40.55 last_x:31.80 rot_y:-45.38 gyro_x:-28.12 last_y:-43.57 
time:0.4876 rot_x:31.58 gyro_x:40.63 last_x:31.88 rot_y:-44.75 gyro_x:-28.09 last_y:-43.56 
time:0.4949 rot_x:30.94 gyro_x:40.68 last_x:31.90 rot_y:-45.25 gyro_x:-28.09 last_y:-43.59 
time:0.5022 rot_x:30.99 gyro_x:40.70 last_x:31.91 rot_y:-46.26 gyro_x:-28.09 last_y:-43.64 
time:0.5095 rot_x:31.64 gyro_x:40.71 last_x:31.91 rot_y:-46.01 gyro_x:-28.06 last_y:-43.66 
time:0.5169 rot_x:30.47 gyro_x:40.71 last_x:31.88 rot_y:-46.72 gyro_x:-28.02 last_y:-43.69 
time:0.5243 rot_x:31.03 gyro_x:40.67 last_x:31.83 rot_y:-47.23 gyro_x:-27.98 last_y:-43.72 
time:0.5317 rot_x:29.86 gyro_x:40.61 last_x:31.73 rot_y:-47.25 gyro_x:-27.96 last_y:-43.77 
time:0.5390 rot_x:29.01 gyro_x:40.50 last_x:31.57 rot_y:-48.28 gyro_x:-27.96 last_y:-43.86 
time:0.5464 rot_x:29.52 gyro_x:40.38 last_x:31.41 rot_y:-50.18 gyro_x:-27.96 last_y:-43.99 
time:0.5537 rot_x:30.52 gyro_x:40.28 last_x:31.30 rot_y:-51.26 gyro_x:-27.91 last_y:-44.08 
time:0.5611 rot_x:30.44 gyro_x:40.23 last_x:31.23 rot_y:-50.86 gyro_x:-27.81 last_y:-44.12 
time:0.5684 rot_x:29.49 gyro_x:40.22 last_x:31.18 rot_y:-49.51 gyro_x:-27.68 last_y:-44.10 
time:0.5758 rot_x:29.81 gyro_x:40.21 last_x:31.15 rot_y:-48.48 gyro_x:-27.54 last_y:-44.05 
time:0.5831 rot_x:31.00 gyro_x:40.19 last_x:31.13 rot_y:-47.80 gyro_x:-27.40 last_y:-43.99 
time:0.5904 rot_x:31.88 gyro_x:40.19 last_x:31.14 rot_y:-46.58 gyro_x:-27.26 last_y:-43.90 
time:0.5978 rot_x:30.55 gyro_x:40.19 last_x:31.12 rot_y:-45.07 gyro_x:-27.11 last_y:-43.78 
time:0.6051 rot_x:30.12 gyro_x:40.17 last_x:31.09 rot_y:-44.59 gyro_x:-26.96 last_y:-43.65 
time:0.6125 rot_x:30.39 gyro_x:40.13 last_x:31.03 rot_y:-43.98 gyro_x:-26.81 last_y:-43.51 
time:0.6198 rot_x:31.26 gyro_x:40.06 last_x:30.97 rot_y:-43.68 gyro_x:-26.69 last_y:-43.39 
time:0.6272 rot_x:29.07 gyro_x:39.97 last_x:30.85 rot_y:-43.97 gyro_x:-26.58 last_y:-43.29 
time:0.6345 rot_x:28.97 gyro_x:39.87 last_x:30.71 rot_y:-45.15 gyro_x:-26.49 last_y:-43.24 
time:0.6418 rot_x:28.61 gyro_x:39.74 last_x:30.53 rot_y:-46.20 gyro_x:-26.41 last_y:-43.23 
time:0.6492 rot_x:29.44 gyro_x:39.58 last_x:30.36 rot_y:-46.72 gyro_x:-26.44 last_y:-43.32 
time:0.6565 rot_x:26.84 gyro_x:39.41 last_x:30.13 rot_y:-51.54 gyro_x:-26.49 last_y:-43.54 
time:0.6639 rot_x:26.99 gyro_x:39.30 last_x:29.95 rot_y:-55.26 gyro_x:-26.52 last_y:-43.80 
time:0.6712 rot_x:29.24 gyro_x:39.27 last_x:29.91 rot_y:-55.39 gyro_x:-26.49 last_y:-44.00 
time:0.6785 rot_x:30.37 gyro_x:39.31 last_x:29.96 rot_y:-52.36 gyro_x:-26.39 last_y:-44.07 
time:0.6859 rot_x:28.55 gyro_x:39.35 last_x:29.97 rot_y:-48.33 gyro_x:-26.28 last_y:-44.05 
time:0.6932 rot_x:26.78 gyro_x:39.31 last_x:29.87 rot_y:-43.18 gyro_x:-26.23 last_y:-43.99 
time:0.7005 rot_x:22.31 gyro_x:39.21 last_x:29.62 rot_y:-45.65 gyro_x:-26.22 last_y:-44.01 
time:0.7079 rot_x:25.42 gyro_x:39.09 last_x:29.42 rot_y:-51.24 gyro_x:-26.19 last_y:-44.13 
time:0.7153 rot_x:28.69 gyro_x:39.00 last_x:29.31 rot_y:-53.69 gyro_x:-26.10 last_y:-44.23 
time:0.7226 rot_x:30.08 gyro_x:38.95 last_x:29.28 rot_y:-52.11 gyro_x:-26.00 last_y:-44.28 
time:0.7300 rot_x:28.11 gyro_x:38.87 last_x:29.18 rot_y:-53.21 gyro_x:-25.91 last_y:-44.38 
time:0.7373 rot_x:27.94 gyro_x:38.80 last_x:29.09 rot_y:-54.49 gyro_x:-25.80 last_y:-44.47 
time:0.7446 rot_x:29.29 gyro_x:38.78 last_x:29.06 rot_y:-52.82 gyro_x:-25.60 last_y:-44.44 
time:0.7519 rot_x:27.77 gyro_x:38.79 last_x:29.05 rot_y:-51.18 gyro_x:-25.33 last_y:-44.31 
time:0.7592 rot_x:28.47 gyro_x:38.82 last_x:29.07 rot_y:-48.02 gyro_x:-25.01 last_y:-44.07 
time:0.7666 rot_x:28.85 gyro_x:38.86 last_x:29.11 rot_y:-44.74 gyro_x:-24.70 last_y:-43.79 
time:0.7739 rot_x:29.04 gyro_x:38.84 last_x:29.09 rot_y:-42.13 gyro_x:-24.47 last_y:-43.52 
time:0.7813 rot_x:28.29 gyro_x:38.75 last_x:28.98 rot_y:-43.31 gyro_x:-24.31 last_y:-43.37 
time:0.7886 rot_x:28.43 gyro_x:38.64 last_x:28.86 rot_y:-47.24 gyro_x:-24.16 last_y:-43.30 
time:0.7960 rot_x:31.81 gyro_x:38.54 last_x:28.82 rot_y:-47.90 gyro_x:-23.99 last_y:-43.22 
time:0.8033 rot_x:32.25 gyro_x:38.46 last_x:28.81 rot_y:-48.23 gyro_x:-23.80 last_y:-43.13 
time:0.8107 rot_x:29.08 gyro_x:38.39 last_x:28.74 rot_y:-48.37 gyro_x:-23.58 last_y:-43.02 
time:0.8180 rot_x:27.37 gyro_x:38.29 last_x:28.62 rot_y:-47.08 gyro_x:-23.34 last_y:-42.87 
time:0.8254 rot_x:30.03 gyro_x:38.16 last_x:28.52 rot_y:-45.99 gyro_x:-23.12 last_y:-42.71 
time:0.8327 rot_x:30.67 gyro_x:38.00 last_x:28.41 rot_y:-47.46 gyro_x:-22.91 last_y:-42.60 
time:0.8401 rot_x:27.94 gyro_x:37.84 last_x:28.24 rot_y:-48.61 gyro_x:-22.70 last_y:-42.52 
time:0.8474 rot_x:27.11 gyro_x:37.68 last_x:28.06 rot_y:-48.19 gyro_x:-22.49 last_y:-42.43 
time:0.8547 rot_x:27.58 gyro_x:37.51 last_x:27.89 rot_y:-48.78 gyro_x:-22.28 last_y:-42.35 
time:0.8625 rot_x:29.50 gyro_x:37.35 last_x:27.76 rot_y:-50.48 gyro_x:-22.08 last_y:-42.31 
time:0.8698 rot_x:31.64 gyro_x:37.23 last_x:27.73 rot_y:-51.08 gyro_x:-21.84 last_y:-42.25 
time:0.8772 rot_x:31.29 gyro_x:37.17 last_x:27.74 rot_y:-50.00 gyro_x:-21.55 last_y:-42.12 
time:0.8845 rot_x:27.29 gyro_x:37.14 last_x:27.69 rot_y:-48.53 gyro_x:-21.24 last_y:-41.95 
time:0.8919 rot_x:27.53 gyro_x:37.10 last_x:27.65 rot_y:-46.05 gyro_x:-20.93 last_y:-41.73 
time:0.8993 rot_x:29.72 gyro_x:37.03 last_x:27.63 rot_y:-44.24 gyro_x:-20.66 last_y:-41.51 
time:0.9067 rot_x:29.30 gyro_x:36.94 last_x:27.58 rot_y:-45.88 gyro_x:-20.43 last_y:-41.37 
time:0.9140 rot_x:30.28 gyro_x:36.86 last_x:27.55 rot_y:-46.53 gyro_x:-20.21 last_y:-41.26 
time:0.9214 rot_x:30.40 gyro_x:36.81 last_x:27.55 rot_y:-47.17 gyro_x:-20.02 last_y:-41.19 
time:0.9287 rot_x:32.45 gyro_x:36.79 last_x:27.64 rot_y:-47.16 gyro_x:-19.82 last_y:-41.12 
time:0.9360 rot_x:33.68 gyro_x:36.82 last_x:27.78 rot_y:-46.65 gyro_x:-19.62 last_y:-41.03 
